creer	A	5	3	;
creer	B	2	8	;
creer	C	3	4	;
creer	D	6	5	;
creer	E	6	6	;
creer	F	5	6	;
creer	G	6	4	;
creer	H	2	7	;
creer	I	8	7	;
creer	J	4	1	;
reserver 	F	F	199j_14h01m	200j_17h01m	;
reserver 	E	E	201j_04h01m	201j_22h01m	;
reserver 	G	H	203j_02h01m	204j_18h01m	;
reserver 	I	E	204j_22h01m	206j_04h01m	;
reserver 	H	H	206j_08h01m	207j_18h01m	;
reserver 	J	E	209j_08h01m	210j_15h01m	;
reserver 	D	C	211j_15h01m	213j_07h01m	;
reserver 	C	E	213j_21h01m	214j_19h01m	;
reserver 	E	E	216j_09h01m	217j_21h01m	;
reserver 	B	G	217j_23h01m	219j_18h01m	;
reserver 	F	D	220j_21h01m	222j_16h01m	;
reserver 	A	E	222j_19h01m	224j_05h01m	;
