creer	A	4	3	;
creer	B	0	3	;
creer	C	2	4	;
creer	D	5	5	;
creer	E	4	0	;
creer	F	2	2	;
creer	G	1	5	;
creer	H	5	5	;
creer	I	4	5	;
creer	J	1	5	;
creer	K	4	0	;
creer	L	1	5	;
creer	M	3	2	;
creer	N	0	3	;
creer	O	3	2	;
creer	P	4	3	;
creer	Q	1	0	;
creer	R	2	1	;
creer	S	5	4	;
creer	T	1	3	;
creer	U	1	4	;
creer	V	1	5	;
creer	W	3	1	;
creer	X	1	2	;
creer	Y	3	2	;
creer	Z	2	4	;
reserver 	L	L	13j_04h30m	15j_17h00m	;
reserver 	A	A	13j_17h30m	17j_12h00m	;
reserver 	I	I	14j_01h30m	33j_22h00m	;
reserver 	T	T	13j_12h00m	33j_02h00m	;
reserver 	B	B	12j_11h30m	30j_13h30m	;
reserver 	V	V	13j_21h30m	29j_16h30m	;
reserver 	C	C	5j_12h30m	17j_13h30m	;
reserver 	T	T	4j_02h00m	23j_06h30m	;
reserver 	E	E	8j_17h00m	24j_01h00m	;
reserver 	P	P	13j_18h00m	28j_14h00m	;
reserver 	W	W	15j_07h30m	17j_11h30m	;
reserver 	Y	Y	10j_05h00m	26j_12h30m	;
reserver 	S	S	9j_17h00m	19j_07h30m	;
reserver 	N	N	5j_22h30m	6j_12h30m	;
reserver 	V	V	4j_09h00m	11j_04h00m	;
reserver 	S	S	9j_20h00m	22j_20h00m	;
reserver 	H	H	11j_06h00m	19j_01h30m	;
reserver 	E	E	17j_08h30m	21j_07h30m	;
reserver 	D	D	8j_11h30m	19j_04h30m	;
reserver 	P	P	10j_11h30m	23j_17h30m	;
reserver 	T	T	7j_13h30m	23j_02h00m	;
reserver 	I	I	9j_22h00m	19j_23h30m	;
reserver 	K	K	14j_15h30m	20j_08h00m	;
reserver 	X	X	13j_20h00m	27j_01h30m	;
reserver 	H	H	12j_03h30m	19j_18h30m	;
reserver 	T	T	15j_14h30m	22j_07h00m	;
reserver 	O	O	5j_10h30m	15j_07h00m	;
reserver 	Z	Z	7j_23h30m	28j_23h30m	;
reserver 	Z	Z	15j_10h30m	21j_03h00m	;
reserver 	E	E	13j_01h00m	31j_15h00m	;
reserver 	M	M	14j_03h30m	25j_10h00m	;
reserver 	L	L	11j_08h30m	24j_13h30m	;
reserver 	Q	Q	9j_03h00m	27j_19h30m	;
reserver 	I	I	16j_13h30m	21j_00h30m	;
reserver 	F	F	12j_00h00m	21j_05h00m	;
reserver 	N	N	15j_23h30m	24j_10h00m	;
reserver 	J	J	13j_11h00m	30j_13h30m	;
reserver 	D	D	4j_13h30m	7j_01h00m	;
reserver 	G	G	7j_17h30m	17j_17h00m	;
reserver 	D	D	11j_00h00m	25j_22h30m	;
reserver 	E	E	14j_04h30m	21j_22h30m	;
reserver 	A	A	15j_07h30m	29j_18h30m	;
reserver 	J	J	14j_04h00m	21j_04h30m	;
reserver 	I	I	10j_19h00m	15j_20h30m	;
reserver 	O	O	13j_03h30m	16j_19h00m	;
reserver 	S	S	6j_00h00m	26j_20h30m	;
reserver 	T	T	13j_19h30m	32j_19h30m	;
reserver 	R	R	7j_09h00m	12j_10h30m	;
reserver 	R	R	11j_01h30m	16j_02h00m	;
reserver 	K	K	16j_20h00m	30j_20h00m	;
reserver 	W	W	15j_00h30m	18j_02h00m	;
reserver 	V	V	6j_23h30m	24j_21h00m	;
reserver 	Y	Y	5j_21h30m	17j_19h00m	;
reserver 	M	M	14j_04h30m	24j_13h00m	;
reserver 	N	N	6j_06h30m	17j_16h00m	;
reserver 	O	O	15j_00h30m	35j_08h00m	;
reserver 	X	X	10j_05h30m	17j_17h00m	;
reserver 	Z	Z	10j_19h30m	25j_12h00m	;
reserver 	T	T	15j_06h30m	21j_06h00m	;
reserver 	B	B	11j_23h00m	27j_21h00m	;
reserver 	Q	Q	17j_23h00m	29j_06h00m	;
reserver 	V	V	10j_18h30m	27j_04h00m	;
reserver 	F	F	14j_11h00m	23j_02h30m	;
reserver 	N	N	8j_21h30m	17j_09h30m	;
reserver 	K	K	8j_14h30m	23j_05h00m	;
reserver 	U	U	17j_18h30m	37j_03h30m	;
reserver 	D	D	8j_13h00m	24j_21h00m	;
reserver 	H	H	17j_12h00m	37j_05h30m	;
reserver 	K	K	8j_00h00m	12j_01h00m	;
reserver 	J	J	19j_13h30m	20j_13h00m	;
reserver 	C	C	7j_02h00m	21j_13h30m	;
reserver 	N	N	19j_11h30m	24j_10h00m	;
reserver 	L	L	17j_11h00m	33j_17h30m	;
reserver 	R	R	16j_01h00m	29j_18h00m	;
reserver 	M	M	14j_18h30m	16j_10h00m	;
reserver 	Q	Q	17j_00h30m	21j_17h00m	;
reserver 	Y	Y	18j_15h00m	35j_10h30m	;
reserver 	X	X	14j_13h00m	17j_12h00m	;
reserver 	Q	Q	13j_02h30m	16j_23h00m	;
reserver 	B	B	19j_15h30m	38j_08h00m	;
reserver 	S	S	13j_15h30m	16j_18h00m	;
reserver 	T	T	12j_14h30m	31j_23h30m	;
reserver 	J	J	15j_05h30m	20j_17h30m	;
reserver 	R	R	8j_12h30m	25j_16h00m	;
reserver 	Y	Y	19j_08h30m	24j_09h00m	;
reserver 	B	B	8j_22h30m	11j_07h30m	;
reserver 	V	V	9j_17h00m	22j_19h00m	;
reserver 	U	U	10j_20h00m	11j_11h30m	;
reserver 	H	H	10j_10h00m	22j_15h00m	;
reserver 	O	O	15j_00h30m	22j_04h30m	;
reserver 	B	B	15j_19h00m	27j_23h30m	;
reserver 	T	T	17j_23h30m	31j_08h30m	;
reserver 	A	A	12j_12h00m	25j_04h00m	;
reserver 	K	K	7j_10h30m	16j_04h30m	;
reserver 	G	G	9j_17h30m	25j_09h00m	;
reserver 	S	S	20j_14h00m	40j_02h30m	;
reserver 	J	J	13j_00h00m	23j_01h30m	;
reserver 	V	V	18j_23h00m	25j_02h30m	;
reserver 	D	D	7j_18h00m	18j_19h00m	;
reserver 	R	R	13j_08h30m	20j_11h30m	;
reserver 	S	S	20j_15h30m	38j_11h30m	;
reserver 	P	P	13j_19h00m	32j_14h30m	;
reserver 	E	E	18j_04h30m	36j_02h30m	;
reserver 	R	R	19j_20h00m	33j_20h30m	;
reserver 	O	O	9j_10h00m	21j_23h30m	;
reserver 	R	R	16j_20h30m	28j_20h30m	;
reserver 	A	A	15j_00h30m	19j_15h00m	;
reserver 	C	C	7j_22h00m	20j_00h30m	;
reserver 	N	N	11j_13h00m	32j_08h00m	;
reserver 	D	D	11j_15h30m	14j_11h00m	;
reserver 	W	W	8j_00h30m	22j_20h00m	;
reserver 	X	X	17j_10h00m	34j_13h30m	;
reserver 	F	F	18j_01h30m	33j_14h00m	;
reserver 	H	H	13j_01h30m	29j_18h30m	;
reserver 	I	I	13j_16h00m	22j_19h00m	;
reserver 	Z	Z	14j_07h30m	16j_17h00m	;
reserver 	O	O	20j_01h00m	29j_02h00m	;
reserver 	U	U	12j_07h30m	27j_09h30m	;
reserver 	F	F	17j_19h00m	33j_09h00m	;
reserver 	E	E	18j_08h00m	37j_09h30m	;
reserver 	Q	Q	14j_17h30m	18j_16h00m	;
reserver 	N	N	14j_09h30m	18j_15h30m	;
reserver 	X	X	12j_16h00m	23j_09h00m	;
reserver 	M	M	19j_12h30m	23j_20h30m	;
reserver 	Q	Q	15j_08h00m	31j_07h00m	;
reserver 	D	D	14j_23h00m	32j_06h00m	;
reserver 	J	J	13j_13h30m	15j_09h30m	;
reserver 	A	A	19j_07h00m	39j_10h30m	;
reserver 	M	M	20j_20h00m	36j_09h00m	;
reserver 	A	A	8j_10h00m	14j_12h30m	;
reserver 	I	I	12j_00h00m	24j_19h30m	;
reserver 	K	K	17j_12h30m	30j_09h30m	;
reserver 	G	G	13j_05h30m	33j_06h30m	;
reserver 	S	S	19j_03h30m	35j_10h30m	;
reserver 	M	M	9j_11h30m	29j_21h30m	;
reserver 	H	H	10j_01h30m	15j_05h00m	;
reserver 	K	K	17j_14h00m	34j_09h00m	;
reserver 	O	O	9j_05h30m	16j_08h30m	;
reserver 	K	K	20j_20h00m	21j_11h00m	;
reserver 	I	I	12j_01h30m	16j_02h30m	;
reserver 	Q	Q	18j_14h30m	32j_15h30m	;
reserver 	P	P	19j_13h30m	23j_08h00m	;
reserver 	Y	Y	20j_17h30m	34j_02h00m	;
reserver 	R	R	18j_18h30m	23j_13h30m	;
reserver 	N	N	21j_23h30m	30j_20h00m	;
reserver 	E	E	16j_10h30m	25j_10h30m	;
reserver 	D	D	13j_12h30m	23j_12h00m	;
reserver 	Z	Z	21j_06h00m	24j_04h30m	;
reserver 	D	D	14j_08h30m	24j_09h30m	;
reserver 	D	D	15j_19h00m	18j_21h00m	;
reserver 	W	W	22j_00h30m	27j_15h30m	;
reserver 	J	J	17j_21h30m	31j_20h00m	;
reserver 	N	N	18j_15h00m	19j_23h00m	;
reserver 	A	A	10j_16h00m	20j_19h00m	;
reserver 	D	D	18j_14h30m	36j_19h00m	;
reserver 	G	G	12j_19h00m	20j_11h30m	;
reserver 	V	V	13j_11h30m	15j_09h30m	;
reserver 	P	P	13j_04h00m	26j_15h30m	;
reserver 	R	R	16j_16h00m	34j_22h00m	;
reserver 	L	L	21j_10h00m	33j_16h00m	;
reserver 	D	D	20j_22h30m	29j_02h30m	;
reserver 	I	I	14j_13h00m	19j_00h30m	;
reserver 	B	B	10j_01h00m	14j_12h30m	;
reserver 	P	P	21j_05h00m	22j_05h00m	;
reserver 	O	O	13j_23h30m	26j_11h30m	;
reserver 	C	C	15j_11h30m	20j_12h30m	;
reserver 	H	H	10j_19h00m	30j_05h30m	;
reserver 	R	R	14j_10h00m	26j_04h00m	;
reserver 	U	U	12j_12h30m	18j_07h00m	;
reserver 	M	M	23j_19h30m	35j_06h30m	;
reserver 	T	T	22j_01h00m	42j_19h00m	;
reserver 	B	B	13j_23h30m	32j_17h30m	;
reserver 	H	H	18j_22h00m	36j_02h30m	;
reserver 	J	J	20j_01h30m	35j_22h30m	;
reserver 	K	K	22j_21h00m	26j_00h00m	;
reserver 	W	W	19j_20h30m	25j_23h30m	;
reserver 	M	M	21j_19h00m	22j_20h30m	;
reserver 	R	R	13j_13h30m	17j_08h00m	;
reserver 	F	F	22j_02h30m	41j_01h30m	;
reserver 	L	L	18j_10h00m	33j_21h00m	;
reserver 	U	U	18j_06h30m	35j_12h00m	;
reserver 	E	E	21j_17h00m	27j_13h00m	;
reserver 	G	G	11j_11h00m	14j_12h30m	;
reserver 	J	J	21j_05h30m	21j_17h30m	;
reserver 	S	S	13j_22h30m	21j_22h30m	;
reserver 	C	C	12j_12h30m	33j_07h00m	;
reserver 	L	L	23j_00h30m	32j_12h30m	;
reserver 	D	D	18j_08h00m	38j_06h30m	;
reserver 	O	O	23j_07h00m	31j_13h00m	;
reserver 	O	O	13j_04h00m	26j_02h00m	;
reserver 	A	A	17j_03h00m	18j_19h30m	;
reserver 	H	H	21j_07h30m	28j_18h30m	;
reserver 	M	M	17j_18h30m	26j_17h30m	;
reserver 	M	M	12j_18h00m	15j_03h30m	;
reserver 	V	V	16j_08h30m	31j_05h30m	;
reserver 	X	X	11j_19h30m	19j_23h00m	;
reserver 	S	S	22j_20h30m	31j_19h00m	;
reserver 	I	I	21j_23h30m	38j_09h30m	;
reserver 	D	D	16j_10h00m	35j_23h00m	;
reserver 	O	O	17j_14h00m	31j_19h30m	;
reserver 	F	F	17j_14h00m	32j_22h30m	;
reserver 	P	P	18j_14h00m	29j_15h30m	;
reserver 	L	L	12j_04h00m	23j_18h30m	;
reserver 	T	T	14j_23h00m	25j_03h30m	;
reserver 	M	M	18j_17h00m	37j_18h30m	;
reserver 	M	M	23j_01h30m	38j_01h00m	;
reserver 	J	J	22j_14h30m	29j_23h30m	;
reserver 	M	M	19j_10h30m	33j_04h00m	;
reserver 	Y	Y	20j_23h30m	36j_23h30m	;
reserver 	J	J	21j_23h30m	41j_22h30m	;
reserver 	B	B	17j_11h00m	37j_04h30m	;
reserver 	T	T	12j_23h30m	20j_14h00m	;
reserver 	P	P	14j_08h30m	30j_11h30m	;
reserver 	G	G	14j_21h30m	28j_01h30m	;
reserver 	A	A	22j_13h30m	35j_08h30m	;
reserver 	M	M	23j_08h00m	40j_21h30m	;
reserver 	M	M	19j_00h00m	19j_17h30m	;
reserver 	D	D	13j_22h30m	20j_01h30m	;
reserver 	V	V	21j_11h00m	34j_17h30m	;
reserver 	N	N	23j_23h00m	43j_10h00m	;
reserver 	A	A	22j_20h30m	30j_06h30m	;
reserver 	D	D	23j_06h30m	30j_02h00m	;
reserver 	V	V	25j_17h00m	28j_01h30m	;
reserver 	A	A	20j_19h00m	28j_13h00m	;
reserver 	P	P	12j_08h00m	16j_11h00m	;
reserver 	D	D	18j_18h00m	29j_05h30m	;
reserver 	X	X	15j_03h30m	19j_09h00m	;
reserver 	S	S	12j_07h30m	21j_18h30m	;
reserver 	K	K	14j_01h00m	30j_00h00m	;
reserver 	C	C	20j_03h30m	32j_04h30m	;
reserver 	L	L	19j_00h30m	36j_12h00m	;
reserver 	G	G	16j_22h00m	20j_13h00m	;
reserver 	Y	Y	13j_15h30m	21j_05h30m	;
reserver 	W	W	23j_14h30m	43j_10h30m	;
reserver 	J	J	20j_09h30m	24j_21h30m	;
reserver 	I	I	12j_19h30m	16j_10h30m	;
reserver 	V	V	25j_09h30m	45j_20h00m	;
reserver 	A	A	17j_06h00m	33j_12h30m	;
reserver 	W	W	14j_23h30m	18j_20h30m	;
reserver 	N	N	14j_18h30m	27j_00h30m	;
reserver 	Z	Z	18j_15h30m	32j_01h00m	;
reserver 	R	R	26j_15h30m	35j_23h00m	;
reserver 	D	D	21j_10h30m	32j_06h30m	;
reserver 	F	F	26j_00h30m	36j_09h30m	;
reserver 	L	L	22j_00h30m	37j_23h00m	;
reserver 	M	M	14j_13h30m	17j_15h00m	;
reserver 	C	C	20j_19h00m	21j_17h30m	;
reserver 	T	T	21j_19h00m	36j_17h00m	;
reserver 	M	M	15j_08h00m	35j_10h00m	;
reserver 	T	T	15j_07h30m	26j_02h00m	;
reserver 	N	N	18j_11h00m	34j_18h30m	;
reserver 	K	K	18j_07h00m	24j_12h30m	;
reserver 	K	K	15j_05h30m	22j_01h00m	;
reserver 	Q	Q	17j_02h00m	29j_20h30m	;
reserver 	R	R	26j_13h00m	35j_19h30m	;
reserver 	C	C	16j_06h00m	29j_07h30m	;
reserver 	Z	Z	22j_02h00m	31j_02h30m	;
reserver 	G	G	18j_14h30m	24j_13h00m	;
reserver 	Y	Y	18j_05h00m	39j_02h30m	;
reserver 	R	R	22j_10h30m	39j_04h30m	;
reserver 	Y	Y	17j_06h30m	26j_00h00m	;
reserver 	V	V	23j_08h30m	30j_19h30m	;
reserver 	Z	Z	24j_18h00m	25j_07h30m	;
reserver 	N	N	14j_01h00m	28j_05h30m	;
reserver 	N	N	13j_19h00m	22j_20h00m	;
reserver 	F	F	19j_03h00m	23j_15h00m	;
reserver 	W	W	17j_10h30m	37j_05h30m	;
reserver 	V	V	27j_04h00m	43j_08h00m	;
reserver 	O	O	15j_07h30m	20j_00h30m	;
reserver 	S	S	20j_10h00m	38j_05h00m	;
reserver 	K	K	19j_06h30m	25j_23h30m	;
reserver 	S	S	26j_14h00m	31j_12h00m	;
reserver 	A	A	25j_15h00m	39j_00h00m	;
reserver 	I	I	21j_09h00m	39j_11h00m	;
reserver 	Q	Q	16j_13h30m	27j_19h30m	;
reserver 	I	I	24j_20h00m	41j_11h00m	;
reserver 	U	U	26j_08h30m	42j_20h30m	;
reserver 	L	L	18j_14h00m	25j_19h00m	;
reserver 	A	A	23j_17h00m	42j_09h00m	;
reserver 	Q	Q	21j_21h30m	38j_02h00m	;
reserver 	K	K	15j_08h30m	31j_18h00m	;
reserver 	C	C	17j_13h30m	18j_06h00m	;
reserver 	X	X	20j_01h30m	21j_12h00m	;
reserver 	S	S	19j_02h30m	30j_19h30m	;
reserver 	A	A	23j_20h00m	32j_22h30m	;
reserver 	C	C	14j_18h30m	17j_15h30m	;
reserver 	R	R	18j_23h30m	38j_02h00m	;
reserver 	P	P	16j_01h30m	20j_09h30m	;
reserver 	E	E	19j_09h30m	35j_11h00m	;
reserver 	P	P	20j_03h00m	38j_18h30m	;
reserver 	U	U	22j_15h30m	34j_20h30m	;
reserver 	D	D	19j_09h00m	24j_03h30m	;
reserver 	S	S	25j_17h00m	35j_00h00m	;
reserver 	D	D	16j_12h30m	22j_06h30m	;
reserver 	B	B	27j_14h30m	44j_14h00m	;
reserver 	Y	Y	24j_12h00m	31j_00h00m	;
reserver 	Z	Z	19j_19h00m	28j_10h00m	;
reserver 	O	O	18j_20h00m	24j_23h30m	;
reserver 	B	B	22j_17h00m	37j_17h30m	;
reserver 	V	V	20j_21h00m	21j_15h00m	;
reserver 	D	D	22j_13h00m	24j_16h00m	;
reserver 	W	W	20j_06h30m	27j_21h30m	;
reserver 	X	X	20j_06h30m	34j_02h30m	;
reserver 	T	T	23j_18h30m	35j_09h30m	;
reserver 	B	B	15j_22h30m	27j_16h00m	;
reserver 	E	E	23j_02h00m	38j_15h30m	;
reserver 	S	S	23j_21h00m	37j_21h30m	;
reserver 	W	W	22j_11h00m	24j_00h30m	;
reserver 	B	B	16j_10h00m	34j_20h00m	;
reserver 	B	B	16j_16h00m	25j_07h00m	;
reserver 	A	A	27j_15h30m	46j_08h30m	;
reserver 	Y	Y	24j_12h00m	29j_08h00m	;
reserver 	S	S	20j_13h00m	31j_03h00m	;
reserver 	J	J	23j_00h00m	25j_07h30m	;
reserver 	T	T	28j_22h00m	43j_22h00m	;
reserver 	Y	Y	15j_23h30m	18j_15h00m	;
reserver 	O	O	26j_02h00m	46j_16h00m	;
reserver 	H	H	18j_09h30m	38j_08h30m	;
reserver 	Q	Q	24j_22h00m	39j_00h30m	;
reserver 	C	C	25j_10h30m	28j_05h30m	;
reserver 	W	W	26j_23h30m	44j_23h30m	;
reserver 	Z	Z	17j_07h00m	33j_02h30m	;
reserver 	I	I	21j_22h30m	34j_08h30m	;
reserver 	Y	Y	22j_02h30m	24j_14h00m	;
reserver 	F	F	28j_02h00m	48j_04h00m	;
reserver 	X	X	30j_01h30m	33j_05h30m	;
reserver 	W	W	29j_11h00m	36j_02h00m	;
reserver 	R	R	17j_20h30m	20j_19h30m	;
reserver 	L	L	20j_07h00m	33j_22h00m	;
reserver 	Y	Y	22j_05h00m	31j_11h00m	;
reserver 	K	K	20j_15h30m	40j_10h00m	;
reserver 	B	B	26j_11h30m	32j_22h30m	;
reserver 	D	D	25j_03h30m	44j_04h00m	;
reserver 	Y	Y	26j_15h00m	42j_23h30m	;
reserver 	P	P	19j_22h00m	36j_13h00m	;
reserver 	X	X	26j_18h00m	31j_04h30m	;
reserver 	A	A	21j_00h30m	36j_11h00m	;
reserver 	U	U	24j_00h00m	41j_09h30m	;
reserver 	T	T	30j_19h30m	36j_03h30m	;
reserver 	O	O	29j_11h30m	33j_08h30m	;
reserver 	W	W	30j_16h00m	44j_19h00m	;
reserver 	P	P	30j_20h00m	44j_10h30m	;
reserver 	P	P	22j_01h00m	33j_06h00m	;
reserver 	B	B	31j_00h30m	33j_09h00m	;
reserver 	J	J	24j_16h00m	45j_06h00m	;
reserver 	M	M	28j_16h00m	36j_11h30m	;
reserver 	F	F	24j_03h30m	35j_07h30m	;
reserver 	O	O	30j_22h00m	35j_23h00m	;
reserver 	S	S	24j_02h30m	34j_19h00m	;
reserver 	B	B	29j_05h00m	45j_05h00m	;
reserver 	K	K	22j_00h30m	34j_04h30m	;
reserver 	E	E	22j_11h30m	40j_14h00m	;
reserver 	W	W	19j_07h30m	38j_11h30m	;
reserver 	R	R	20j_04h30m	24j_09h30m	;
reserver 	G	G	29j_00h00m	39j_20h30m	;
reserver 	T	T	30j_13h30m	33j_20h30m	;
reserver 	I	I	18j_20h00m	27j_13h00m	;
reserver 	O	O	25j_22h30m	32j_17h00m	;
reserver 	C	C	18j_04h00m	27j_20h30m	;
reserver 	V	V	30j_02h30m	45j_05h00m	;
reserver 	Z	Z	25j_19h00m	37j_08h00m	;
reserver 	E	E	23j_04h00m	40j_16h30m	;
reserver 	K	K	25j_15h00m	29j_11h00m	;
reserver 	B	B	22j_22h00m	32j_15h30m	;
reserver 	X	X	25j_18h00m	29j_00h30m	;
reserver 	M	M	25j_01h00m	33j_08h00m	;
reserver 	M	M	27j_06h30m	39j_01h30m	;
reserver 	D	D	25j_07h30m	39j_06h00m	;
reserver 	E	E	26j_21h00m	35j_06h30m	;
reserver 	R	R	25j_06h00m	46j_01h30m	;
reserver 	Q	Q	23j_11h30m	32j_12h00m	;
reserver 	I	I	23j_17h30m	36j_10h30m	;
reserver 	X	X	23j_14h00m	42j_13h30m	;
reserver 	P	P	24j_06h00m	35j_20h30m	;
reserver 	T	T	19j_12h30m	39j_21h00m	;
reserver 	G	G	20j_03h30m	29j_21h00m	;
reserver 	G	G	29j_17h30m	37j_03h30m	;
reserver 	U	U	25j_17h00m	45j_19h30m	;
reserver 	E	E	24j_00h30m	25j_18h00m	;
reserver 	W	W	26j_00h30m	32j_13h00m	;
reserver 	N	N	31j_05h30m	33j_07h30m	;
reserver 	M	M	32j_05h00m	48j_16h30m	;
reserver 	P	P	23j_06h30m	36j_20h30m	;
reserver 	H	H	27j_15h00m	46j_06h30m	;
reserver 	Z	Z	27j_08h30m	38j_13h30m	;
reserver 	P	P	27j_15h00m	46j_06h00m	;
reserver 	U	U	29j_06h30m	39j_11h00m	;
reserver 	O	O	28j_22h00m	48j_09h00m	;
reserver 	U	U	25j_19h30m	44j_15h30m	;
reserver 	Q	Q	26j_22h30m	28j_10h00m	;
reserver 	D	D	27j_18h00m	41j_10h30m	;
reserver 	R	R	27j_13h00m	28j_21h00m	;
reserver 	G	G	27j_10h30m	47j_13h30m	;
reserver 	O	O	21j_21h00m	41j_12h30m	;
reserver 	L	L	30j_10h30m	32j_00h00m	;
reserver 	T	T	31j_16h30m	39j_00h00m	;
reserver 	Z	Z	27j_01h30m	45j_06h00m	;
reserver 	R	R	24j_02h00m	29j_06h30m	;
reserver 	X	X	26j_19h30m	40j_00h30m	;
reserver 	D	D	21j_22h30m	40j_18h30m	;
reserver 	E	E	26j_02h00m	43j_08h00m	;
reserver 	Q	Q	26j_18h00m	28j_11h00m	;
reserver 	C	C	23j_23h00m	27j_04h00m	;
reserver 	M	M	33j_01h30m	35j_20h00m	;
reserver 	X	X	27j_15h30m	41j_01h30m	;
reserver 	L	L	27j_00h30m	47j_11h00m	;
reserver 	F	F	29j_09h00m	47j_10h30m	;
reserver 	Z	Z	20j_07h30m	21j_19h30m	;
reserver 	P	P	31j_01h00m	35j_09h30m	;
reserver 	I	I	20j_16h00m	36j_16h00m	;
reserver 	A	A	21j_11h00m	23j_16h00m	;
reserver 	Q	Q	33j_12h30m	48j_23h00m	;
reserver 	I	I	20j_14h30m	34j_11h30m	;
reserver 	X	X	24j_03h30m	45j_03h30m	;
reserver 	I	I	29j_17h30m	40j_07h00m	;
reserver 	U	U	21j_11h00m	30j_09h30m	;
reserver 	G	G	23j_12h30m	42j_15h30m	;
reserver 	N	N	26j_14h00m	40j_10h30m	;
reserver 	I	I	21j_07h30m	25j_00h30m	;
reserver 	G	G	22j_09h00m	37j_21h30m	;
reserver 	Z	Z	21j_02h30m	38j_03h00m	;
reserver 	P	P	24j_20h00m	33j_08h30m	;
reserver 	V	V	23j_04h00m	31j_11h00m	;
reserver 	I	I	22j_07h30m	23j_21h00m	;
reserver 	S	S	25j_05h30m	35j_18h30m	;
reserver 	I	I	24j_07h00m	41j_18h30m	;
